Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z
278.15,0.5,0.0653320146,0.0120366326203,-3.13117392e-05
278.15,0.5,0.07626985859,0.0119802426084,-5.92410587e-05
278.15,0.5,0.08903890941,0.011885925004,-8.57577864e-05
278.15,0.5,0.1039457465,0.0119882860555,-0.000107108272
278.15,0.5,0.1213482768,0.0119235419187,-0.000113326204
278.15,0.5,0.1416643275,0.0118329748972,5.13583508e-05
278.15,0.5,0.1653816783,0.0119030589103,2.17151698e-05
278.15,0.5,0.1930697729,0.0119577241841,-3.995715e-05
278.15,0.5,0.2253933905,0.0119779116794,-3.1870963e-05
278.15,0.5,0.2631286074,0.0119479723362,-8.39431018e-05
278.15,0.5,0.3071814301,0.011939045115,-0.000147751133
278.15,0.5,0.3586095482,0.0119627621996,-0.000143531749
278.15,0.5,0.4186477288,0.0119205792023,-7.22651032e-05
278.15,0.5,0.4887374632,0.0120018984187,-4.487003e-05
278.15,0.5,0.5705615759,0.0119391095978,-0.000105383732
278.15,0.5,0.6660846291,0.0119463584192,1.09524321e-05
278.15,0.5,0.7776000906,0.0119596682757,-6.96127125e-06
278.15,0.5,0.9077853992,0.0118629477661,-2.98724272e-05
278.15,0.5,1.059766249,0.0118822282824,-0.000146422989
278.15,0.5,1.237191635,0.0120140968521,-5.78402675e-05
278.15,0.5,1.444321465,0.0119413072784,-5.07919389e-05
278.15,0.5,1.686128838,0.0119026816783,-0.000128736412
278.15,0.5,1.968419447,0.0119378834685,-0.000189384022
278.15,0.5,2.297970969,0.0118865962789,4.75393123e-05
278.15,0.5,2.682695795,0.0119293084982,-3.73674014e-05
278.15,0.5,3.131831005,0.0118700666276,-0.000106385392
278.15,0.5,3.656160144,0.0119226166635,6.33757061e-07
278.15,0.5,4.268272131,0.0118080732619,-4.06664218e-05
278.15,0.5,4.982863515,0.0119760539548,-9.42813185e-05
278.15,0.5,5.817091329,0.0118602023571,-0.000123719981
278.15,0.5,6.79098503,0.0117891850817,-0.000109344632
278.15,0.5,7.927927389,0.0118605657326,-8.97142436e-05
278.15,0.5,9.25521591,0.011840403424,-0.000195723506
278.15,0.5,10.80471822,0.011857321347,-0.000239588428
278.15,0.5,12.61363722,0.011763127334,-0.000220292891
278.15,0.5,14.72540428,0.0118329872722,-0.000452279102
278.15,0.5,17.19072202,0.0119969608795,-0.000314451567
278.15,0.5,20.06878168,0.011676579047,-0.000378902696
278.15,0.5,23.42868424,0.0117336171838,-0.0003923372
278.15,0.5,27.35109953,0.0116508923781,-0.000438248324
278.15,0.5,31.93020308,0.0116282356121,-0.00044253355
278.15,0.5,37.2759372,0.0114531226616,-0.000487542642
278.15,0.5,43.51665071,0.0114260732402,-0.000516291269
278.15,0.5,50.80218047,0.0114475592864,-0.000547872859
278.15,0.5,59.30744895,0.0113444369751,-0.000526919893
278.15,0.5,69.23666403,0.0113626274525,-0.000585385509
278.15,0.5,80.82822193,0.0111552347613,-0.000497318736
278.15,0.5,94.36043101,0.0111315125499,-0.000633882861
278.15,0.5,110.1581939,0.0112144419734,-0.000510211781
278.15,0.5,128.6008081,0.0109481974635,-0.000472868204
278.15,0.5,150.1310729,0.0108840607437,-0.000540194276
278.15,0.5,175.2659209,0.0108810247765,-0.000465253939
278.15,0.5,204.6088289,0.0108357825923,-0.000340820328
278.15,0.5,238.8643079,0.01084425488,-0.000391122788
278.15,0.5,278.8548172,0.0107704606629,-0.000404211854
278.15,0.5,325.5405119,0.0106912558711,-0.000491081427
278.15,0.5,380.0422956,0.0107143799317,-0.000288945239
278.15,0.5,443.6687331,0.0108172397381,-0.000279474769
278.15,0.5,517.9474679,0.0107188879947,-0.000231569051
278.15,0.5,604.6619009,0.0104791422082,-0.000135311023
278.15,0.5,705.8940087,0.0105960925174,-0.000225175143
278.15,0.5,824.074331,0.0105344526803,-0.000198696374
278.15,0.5,962.0403271,0.0105911750404,-0.000222345703
278.15,0.5,1123.104502,0.0105272141616,-0.000168696194
278.15,0.5,1311.133937,0.0106165849122,-0.000144825473
278.15,0.5,1530.643141,0.0105432489508,-7.96366016e-05
278.15,0.5,1786.902434,0.0105214280198,-6.39824772e-05
